,,,,,,,,,,,,,,,,EN,,,,,,,,DE,,,,,,,,JP,,,,,,
Title,content 1,content 2,content 3,content 4,content 5,Brand,code,# of pages,content 9,,QR code,Easy Navigation,Rich Content Object Table,Audio Resources,,Language Ver SKU,pdf file ,location,image file,location,qr ePoster,qr Poster,,Language Ver SKU,pdf file ,location,image file,location,qr ePoster,qr Poster,,Language Ver SKU,pdf file ,location,image file,location,qr ePoster,qr Poster
Popular Dog Breeds (collection 1),Sensai Wall Art Eductional ePoster - Popular Dog Bleeds (Version 1) - Pack of 3,,"<b>Audio ePoster Set</b>, pdf file for your personal decorative and learning purposes.",<b>Only</b> available as <b>FREE ePoster</b>. No physical merchandise prints available.,You may prepare A3 or A4 physical prints by your home printer.,Sensaihonya,P12003-dog,3,# of breeds : 164,,Reach the Rich Content Object page by simply scan the QR code at the top right corner of each page with mobile scanning app,"On the Rich Content Object page, there is a digital replica of each poster, together with the corresponding Rich Content Object Table. Once an object is clicked, the info line will be highlighted and the Object Table will jump to the line containing links to abundant resources.",Well Organised web resources for easy and convenient navigation to abundant knowledge base,"Allow kids and adults to listen to poster contents, creating an instant and convenient learning environment that can be reached at fingertips",,P12003-dog-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,P12003-dog-de,see page pdf jpg qr,,see page pdf jpg qr,,,xxx,,P12003-dog-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Popular Cat Breeds (collection 1),Sensai Wall Art Eductional ePoster - Popular Cat Bleeds (Version 1) - Pack of 2,,ditto,ditto,ditto,ditto,P12001-cat,2,# of breeds : 64,,ditto,ditto,ditto,ditto,,P12001-cat-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,P12001-cat-de,see page pdf jpg qr,,see page pdf jpg qr,,,xxx,,P12001-cat-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Popular Cat Breeds (collection 2),"Sensai Wall Art Eductional Poster Print - Popular Cat Bleeds (Version 2) - A2 formats, Pack of 2",,ditto,"<a href=""#""><b>Printed product also available</b></a>",ditto,ditto,A0A_10630_cat,2,,,ditto,ditto,ditto,ditto,,A0A_10630_cat-en,see page pdf jpg qr,,see page pdf jpg qr,pages eu\detail\eposter,,,,A0A_10630_cat-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A0A_10630_cat-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Popular Dog Breeds (collection 2),"Sensai Wall Art Eductional Poster Print - Popular Dog Bleeds (Version 2)  - A2 formats, Pack of 2",,ditto,ditto,ditto,ditto,A0B_10610_dog,2,,,ditto,ditto,ditto,ditto,,A0B_10610_dog-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A0B_10610_dog-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A0B_10610_dog-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
ABC,The colorful ABC learning poster with upper case letters,Ideal as a wall decoration for the children corner ,ditto,ditto,ditto,ditto,A08_10550_Ed_ABC,1,,,ditto,ditto,ditto,ditto,,A08_10550_Ed_ABC-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10550_Ed_ABC-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10550_Ed_ABC-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
123,The colorful 123 learning poster ,ditto,ditto,ditto,ditto,ditto,A08_10560_Ed_123,1,,,ditto,ditto,ditto,ditto,,A08_10560_Ed_123-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10560_Ed_123-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10560_Ed_123-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Dinosaurs,"Colorful Dinosaurs learning poster 
Learn about 26 dinosaurs",ditto,ditto,ditto,ditto,ditto,A08_10570_Ed_dino,1,,,ditto,ditto,ditto,ditto,,A08_10570_Ed_dino-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10570_Ed_dino-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10570_Ed_dino-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Fruits & Vegetables,"Colorful Vegetables learning poster 
Learn about 26 vegetables",ditto,ditto,ditto,ditto,ditto,A08_10580_Ed_veggie,1,,,ditto,ditto,ditto,ditto,,A08_10580_Ed_veggie-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10580_Ed_veggie-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10580_Ed_veggie-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
On the Farm,"Colorful Farm Animals learning poster 
Learn about 21 farm animals",ditto,ditto,ditto,ditto,ditto,A08_10590_Ed_farm,1,,,ditto,ditto,ditto,ditto,,A08_10590_Ed_farm-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10590_Ed_farm-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10590_Ed_farm-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
Wild Animals,"The colorful Wild Animals learning poster 
Learn about 26 animals",ditto,ditto,ditto,ditto,ditto,A08_10600_Ed_animal,1,,,ditto,ditto,ditto,ditto,,A08_10600_Ed_animal-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10600_Ed_animal-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10600_Ed_animal-jp,see page pdf jpg qr,,see page pdf jpg qr,,,
My body,"The colorful My body learning poster 
Learn about the different human body parts",ditto,ditto,ditto,ditto,ditto,A08_10610_Ed_body,1,,,ditto,ditto,ditto,ditto,,A08_10610_Ed_body-en,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10610_Ed_body-de,see page pdf jpg qr,,see page pdf jpg qr,,,,,A08_10610_Ed_body-jp,see page pdf jpg qr,,see page pdf jpg qr,,,