type,bundle name,alias,chart sku,file name,tags,category,cat1,cat2,category alias to replace,bundle_chart_thumb,bundle+chart images
chart,Popular Cat Breeds (collection 2),popular-cat-breeds-(collection-2),A0A_10630,images/audio_poster/A0A_10630_Ed_cat_277.jpg,"animal,animal,cat,cat,educational,bleed,photo,learning,audio,Terriers,Airedale Terrier,American Staffordshire 
Terrier,Wire Fox Terrier,Boston Terrier,Russell Terrier,Skye Terrier,American Pit Bull Terrier,West Highland White Terrier,Yorkshire Terrier,Silky Terrier,Cairn Terrier,Manchester Terrier,Jack Russell Terrier,English Greyhound,Greyhound,Smooth-haired Dachshund,Long-haired Dachshund,Wire-haired Dachshund,Afghan Hound,Beagle,Basset Hound,Sporting,American Cocker Spanieil,Golden Retriever,Vizsla,Weimaraner,Labrador Retriever,Herding,Pembroke Welsh Corgi,Shetland Sheepdog,Dogi (Welsh Corgi x Dachshund),Pyrenean Shepherd,Bouvier des Flandres,Australian Shepherd,German Shepherd,Border Collie,educational,bleed,photo,learning,audio,Toy Dogs,Pomeranian,Pug,Chihuahua Rough Coat,Chihuahua Smooth Coat,Papillon,Chinese Crested,Working Dogs,Bull Terrier,French Bulldog,Siberian Husky,Alaskan Malamute,Great Dane,Giant Schnauzer,Bullmastiff,Bernese Mountain Dog,English Mastiff,Dogue de Bordeaux,Boxer,Samoyed,Saint Bernard,Bull Terrier x Boxer,German Pinscher,Miniature Pinscher,French Bulldog x,Chinese Crested,Rottweiler,Non-sporting,Chow Chow,Miniature Poodle,Standard Poodle,Shiba Inu,Shar Pei,Dalmatian",cat,animal,cat,,,
,,,A0A_10640,images/audio_poster/A0A_10640_Ed_cat_277.jpg,,,animal,cat,,,
chart,Popular Dog Breeds (collection 2),popular-dog-breeds-(collection-2),A0B_10610,images/audio_poster/A0B_10610_Ed_dog_277.jpg,"animal,animal,dog,dog,educational,bleed,painting,learning,audio,Popular Cat Breeds,American Curl Cat,American Bobtail Cat,Aegean Cat,American Shorthair Cat,American Wirehair Cat,Aphrodite Giant Cat,Abyssinian Cat,Exotic Cat,Arabian Mau Cat,Australian Mist Cat,British Shorthair Cat,Birman Cat,Bombay Cat,Burmese Cat,British Fold Kitten,Bengal Cat,Tonkinese Cat,California Spangled Cat,British Longhair Cat,Chartreux Cat,Snowshoe Cat,Colorpoint Shorthair Cat,Chausie Cat,Cornish Rex Cat,Cymric Cat,educational,bleed,painting,learning,audio,Don Sphynx Cat,Egyptian Mau,Manx Cat,Cyprus Mountain Cat,Oriental Bicolor,Siamese Cat,Maine Coon White Cat,Maine Coon Black Cat,Lykoi Cat,Maine Coon Kitten,Minskin Cat,Devon Rex Kitten,British Fold Marble Cat,Norwegian Forest,Sphynx,Siberian Cat,Ragdoll Cat,Persian White Cat,Korean Bobtail Cat,York Chocolate Cat,LaPerm Cat,Highlander Cat,Ragamuffin,Kurilian Bobtail Cat,Ukrainian Levkoy Cat",dog,animal,dog,,,
,,,A0B_10620,images/audio_poster/A0B_10620_Ed_dog_277.jpg,,,animal,dog,,,
chart,Popular Dog Breeds (collection 1),popular-dog-breeds-(collection-1),P12003-dog,images/audio_poster/P12003-dog-en1_277.jpg,,,,,,,
chart,Popular Cat Breeds (collection 1),popular-cat-breeds-(collection-1),P12001-cat,images/audio_poster/P12001-cat-en1_277.jpg,,,,,,,
chart,ABC,abc,A08_10550_Ed_ABC,images/audio_poster/A08_10550_Ed_ABC-en1_277.jpg,,,,,,,
chart,123,123,A08_10560_Ed_123,images/audio_poster/A08_10560_Ed_123-en1_277.jpg,,,,,,,
chart,Dinosaurs,dinosaurs,A08_10570_Ed_dino,images/audio_poster/A08_10570_Ed_dino-en1_277.jpg,,,,,,,
chart,Fruits & Vegetables,fruits-&-vegetables,A08_10580_Ed_veggie,images/audio_poster/A08_10580_Ed_veggie-en1_277.jpg,,,,,,,
chart,On the Farm,on-the-farm,A08_10590_Ed_farm,images/audio_poster/A08_10590_Ed_farm-en1_277.jpg,,,,,,,
chart,Wild Animals,wild-animals,A08_10600_Ed_animal,images/audio_poster/A08_10600_Ed_animal-en1_277.jpg,,,,,,,
chart,My body,my-body,A08_10610_Ed_body,images/audio_poster/A08_10610_Ed_body-en1_277.jpg,,,,,,,