file_id,version,sku,Name,note,note2,image file name
1,1,P12003-dog,Popular Dog Breeds (collection 1),Sensaihonya is giving away <strong>FREE</strong> <b>Popular Dog Breeds</b> (collection 1) Audio ePoster Pack which contain 3 pages of charts in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",gallery/A0B_405_2
2,1,P12001-cat,Popular Cat Breeds (collection 1),Sensaihonya is giving away <strong>FREE</strong> <b>Popular Cat Breeds</b> (collection 1) Audio ePoster Pack which contain 2 pages of charts in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",gallery/A0A_498
3,1,A0A_10630_cat,Popular Cat Breeds (collection 2),Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>Popular Cat Breeds</b> (collection 2) Audio ePoster Pack which contain 2 pages of charts in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A0A_10630_Ed_cat
4,1,A0B_10610_dog,Popular Dog Breeds (collection 2),Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>Popular Dog Breeds</b> (collection 2) Audio ePoster Pack which contain 2 pages of charts in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A0B_10610_Ed_dog
5,1,A08_10550_Ed_ABC,ABC,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>ABC</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10550_Ed_ABC
6,1,A08_10560_Ed_123,123,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>123</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10560_Ed_123
7,1,A08_10570_Ed_dino,Dinosaurs,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>Dinosaurs</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10570_Ed_dino
8,1,A08_10580_Ed_veggie,Fruits & Vegetables,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>Fruits & Vegetables</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10580_Ed_veggie
9,1,A08_10590_Ed_farm,On the Farm,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>On the Farm</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10590_Ed_farm
10,1,A08_10600_Ed_animal,Wild Animals,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>Wild Animals</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10600_Ed_animal
11,1,A08_10610_Ed_body,My body,Limited Time Offer : Sensaihonya is giving away <strong>FREE</strong> <b>My body</b> Audio ePoster in pdf format! ,"Register now and unlock to download. The pdf is embedded with quality jpegs and is good enough for printing A3 format. With a quality home use A3 or A4 printer, you could obtain crispy clear images at your fingertips.",A08_10610_Ed_body